Type,Meg,Elapsed,Convergence_Type,Scheduler,Converged,atol,seed,n_states
KLDiv Meg,6.404962539672852,88.84979009628296,Q,True,True,1e-05,100,100
Matt Meg,6.498893737792969,321.6977024078369,Q,,True,1e-05,100,100
KLDiv Meg,6.396660804748535,83.60509157180786,Q,True,True,1e-05,500,100
Matt Meg,6.498976707458496,342.7687814235687,Q,,True,1e-05,500,100
KLDiv Meg,0.04816484451293945,92.61023759841919,Q,True,True,1e-05,42,150
Matt Meg,0.049831144511699677,2081.8627936840057,Q,,False,1e-05,42,150
KLDiv Meg,0.048115454614162445,91.77961564064026,Q,True,True,1e-05,6033,150
Matt Meg,0.049794308841228485,2119.623081445694,Q,,False,1e-05,6033,150
KLDiv Meg,0.04806029051542282,90.89135599136353,Q,True,True,1e-05,0,150
Matt Meg,0.04955253377556801,2069.129802465439,Q,,False,1e-05,0,150
KLDiv Meg,0.04832129925489426,93.1282913684845,Q,True,True,1e-05,100,150
Matt Meg,0.04882483184337616,2006.2520427703857,Q,,False,1e-05,100,150
KLDiv Meg,0.04820749908685684,92.34302687644958,Q,True,True,1e-05,500,150
Matt Meg,0.04980706423521042,2054.2036521434784,Q,,False,1e-05,500,150
