Norm,Metric,Distance,Env,mean_episode_rewards,val_mean_episode_rewards,run
l2_norm,l2_dist,1.290695071220398,Valid,10,9.5,comfy-sky-1176
linf_norm,l1_dist,0.20235082507133484,Valid,10,9.5,comfy-sky-1176
linf_norm,l2_dist,0.30234867334365845,Valid,10,9.5,comfy-sky-1176
l1_norm,l1_dist,1.2948684692382812,Train,10,-5.5,deft-puddle-1177
l1_norm,l2_dist,3.3772666454315186,Train,10,-5.5,deft-puddle-1177
l2_norm,l1_dist,0.7803782224655151,Train,10,-5.5,deft-puddle-1177
l2_norm,l2_dist,1.2760764360427856,Train,10,-5.5,deft-puddle-1177
linf_norm,l1_dist,0.39981621503829956,Train,10,-5.5,deft-puddle-1177
linf_norm,l2_dist,0.5691894292831421,Train,10,-5.5,deft-puddle-1177
l1_norm,l1_dist,1.4783451557159424,Valid,10,-5.5,deft-puddle-1177
l1_norm,l2_dist,2.192091941833496,Valid,10,-5.5,deft-puddle-1177
l2_norm,l1_dist,0.9688249826431274,Valid,10,-5.5,deft-puddle-1177
l2_norm,l2_dist,1.4381358623504639,Valid,10,-5.5,deft-puddle-1177
linf_norm,l1_dist,0.19634568691253662,Valid,10,-5.5,deft-puddle-1177
linf_norm,l2_dist,0.29882171750068665,Valid,10,-5.5,deft-puddle-1177
l1_norm,l1_dist,1.8952867984771729,Train,10,9.5,efficient-moon-1178
l1_norm,l2_dist,5.5522589683532715,Train,10,9.5,efficient-moon-1178
l2_norm,l1_dist,0.8544001579284668,Train,10,9.5,efficient-moon-1178
l2_norm,l2_dist,1.3883295059204102,Train,10,9.5,efficient-moon-1178
linf_norm,l1_dist,0.4127996265888214,Train,10,9.5,efficient-moon-1178
linf_norm,l2_dist,0.5838608741760254,Train,10,9.5,efficient-moon-1178
l1_norm,l1_dist,1.3883023262023926,Valid,10,9.5,efficient-moon-1178
l1_norm,l2_dist,1.9907349348068237,Valid,10,9.5,efficient-moon-1178
l2_norm,l1_dist,0.8948737978935242,Valid,10,9.5,efficient-moon-1178
l2_norm,l2_dist,1.2935513257980347,Valid,10,9.5,efficient-moon-1178
linf_norm,l1_dist,0.20283734798431396,Valid,10,9.5,efficient-moon-1178
linf_norm,l2_dist,0.30304962396621704,Valid,10,9.5,efficient-moon-1178
